reporting_area,state_code,lat,lang,CO,NO2,OZONE,PM10,PM2.5,date,year,month,weekday,month_name,AQI
Burlington,VT,44.467,-73.201,,,31,,52,1/1/2019 0:00,2019,1,1,January,52
Burns,OR,43.5893,-119.0487,,,,,65,1/1/2019 0:00,2019,1,1,January,65
Butte,MT,46.0024,-112.5009,,,,16,30,1/1/2019 0:00,2019,1,1,January,30
C San Bernardino M,CA,34.2413,-117.2755,3,9,38,21,23,1/1/2019 0:00,2019,1,1,January,38
C San Bernardino-1,CA,34.1005,-117.4919,8,9,41,24,42,1/1/2019 0:00,2019,1,1,January,42
C San Bernardino-2,CA,34.1066,-117.2736,8,9,41,24,42,1/1/2019 0:00,2019,1,1,January,42
Calexico,CA,32.6761,-115.4833,,,28,61,84,1/1/2019 0:00,2019,1,1,January,84
Camden,NJ,39.9228,-75.0972,,,30,,45,1/1/2019 0:00,2019,1,1,January,45
Canton/Massillon,OH,40.7949,-81.4576,,,,,60,1/1/2019 0:00,2019,1,1,January,60
Canyonlands National Park,UT,38.4583,-109.8211,,,31,,,1/1/2019 0:00,2019,1,1,January,31
Capistrano Vly,CA,33.5493,-117.5715,5,9,39,27,42,1/1/2019 0:00,2019,1,1,January,42
Carpinteria,CA,34.4027,-119.4575,,,38,,,1/1/2019 0:00,2019,1,1,January,38
Carrizo Plains,CA,35.32,-120,,,35,22,28,1/1/2019 0:00,2019,1,1,January,35
Carson City,NV,39.1448,-119.7664,,,34,,18,1/1/2019 0:00,2019,1,1,January,34
Casa Grande,AZ,32.8775,-111.8522,,,31,18,70,1/1/2019 0:00,2019,1,1,January,70
Cascade foothills of King County,WA,47.4902,-121.7727,,,,,64,1/1/2019 0:00,2019,1,1,January,64
Cascade foothills of east King-Pierce counties,WA,47.1411,-121.9367,,,,,68,1/1/2019 0:00,2019,1,1,January,68
Casper,WY,42.82,-106.37,,,19,,,1/1/2019 0:00,2019,1,1,January,19
Catano,PR,18.4284,-66.1417,,,12,19,57,1/1/2019 0:00,2019,1,1,January,57
Catawba Indian Nation,SC,34.9126,-80.8743,,,,,36,1/1/2019 0:00,2019,1,1,January,36
Cave Junction,OR,42.1617,-123.6484,,,,,64,1/1/2019 0:00,2019,1,1,January,64
Central Coastal,CA,33.5924,-117.7724,3,9,39,27,50,1/1/2019 0:00,2019,1,1,January,50
Central LA CO,CA,34.0663,-118.2266,6,11,38,36,59,1/1/2019 0:00,2019,1,1,January,59
Central New York Region,NY,42.8049,-76.3589,,,26,,40,1/1/2019 0:00,2019,1,1,January,40
Central Orange-1,CA,33.8305,-117.9386,5,9,38,33,50,1/1/2019 0:00,2019,1,1,January,50
Central Orange-2,CA,33.7958,-118.0317,5,9,36,33,50,1/1/2019 0:00,2019,1,1,January,50
Champaign,IL,40.1112,-88.2559,,,21,,33,1/1/2019 0:00,2019,1,1,January,33
Charleston,SC,32.8,-79.95,,,,,51,1/1/2019 0:00,2019,1,1,January,51
Charleston,WV,38.3458,-81.6283,,,31,,,1/1/2019 0:00,2019,1,1,January,31
Charlotte,NC,35.227,-80.843,,,34,,40,1/1/2019 0:00,2019,1,1,January,40
Chattanooga,TN,35.0433,-85.31,,,,,30,1/1/2019 0:00,2019,1,1,January,30
Cheeka Peak,WA,48.3,-124.6263,,,27,,9,1/1/2019 0:00,2019,1,1,January,27
Chehalis,WA,46.6641,-122.9673,,,,,59,1/1/2019 0:00,2019,1,1,January,59
Chelan,WA,47.8386,-120.0231,,,,,38,1/1/2019 0:00,2019,1,1,January,38
Chelmsford,MA,42.5998,-71.3673,,,22,,49,1/1/2019 0:00,2019,1,1,January,49
Chester,NJ,40.7872,-74.6775,,,31,,45,1/1/2019 0:00,2019,1,1,January,45
Cheyenne,WY,41.18,-104.78,,,20,15,24,1/1/2019 0:00,2019,1,1,January,24
Chicago,IL,41.964,-87.659,,,24,,58,1/1/2019 0:00,2019,1,1,January,58
Chico,CA,39.7575,-121.8422,,,31,27,71,1/1/2019 0:00,2019,1,1,January,71
Chiricahua National Park,AZ,32.0092,-109.3891,,,40,,,1/1/2019 0:00,2019,1,1,January,40
Cincinnati,OH,39.104,-84.523,,,23,10,50,1/1/2019 0:00,2019,1,1,January,50
Citrus County,FL,28.88,-82.52,,,34,,54,1/1/2019 0:00,2019,1,1,January,54
City of La Grande,OR,45.3239,-118.0939,,,,,57,1/1/2019 0:00,2019,1,1,January,57
City of Maricopa,AZ,33.0589,-112.0469,,,,22,,1/1/2019 0:00,2019,1,1,January,22
Clarksboro,NJ,39.7992,-75.2183,,,30,,45,1/1/2019 0:00,2019,1,1,January,45
Clarkston,WA,46.4255,-117.0597,,,,,43,1/1/2019 0:00,2019,1,1,January,43
Clarksville-Montgomery County,TN,36.53,-87.36,,,,,31,1/1/2019 0:00,2019,1,1,January,31
Cleveland,MS,33.744,-90.7248,,,,,27,1/1/2019 0:00,2019,1,1,January,27
Cleveland-Akron-Lorain,OH,41.0814,-81.519,,,19,13,54,1/1/2019 0:00,2019,1,1,January,54
Coachella Vly,CA,33.7684,-116.375,5,9,37,54,29,1/1/2019 0:00,2019,1,1,January,54
Cody,WY,44.5263,-109.0565,,,19,8,13,1/1/2019 0:00,2019,1,1,January,19
Coeur d'Alene,ID,47.6822,-116.7653,,,,,23,1/1/2019 0:00,2019,1,1,January,23
Coeur d'Alene Reservation,ID,47.3387,-116.8846,,,,,22,1/1/2019 0:00,2019,1,1,January,22
Colfax,CA,39.1003,-120.9528,,,35,,76,1/1/2019 0:00,2019,1,1,January,76
Colorado River Valley,CO,39.497,-107.939,,,21,,43,1/1/2019 0:00,2019,1,1,January,43
Colorado Springs,CO,38.83,-104.8177,,,23,,54,1/1/2019 0:00,2019,1,1,January,54
Columbia,SC,34.039,-80.886,,,24,,26,1/1/2019 0:00,2019,1,1,January,26
Columbia and Suwannee Counties,FL,30.174,-82.793,,,31,,27,1/1/2019 0:00,2019,1,1,January,31
Columbus,OH,39.989,-82.987,,,,,46,1/1/2019 0:00,2019,1,1,January,46
Columbus-Phenix City - GA/AL,AL,32.521,-84.9446,,,,,15,1/1/2019 0:00,2019,1,1,January,15
Colville,WA,48.5447,-117.9036,,,,31,74,1/1/2019 0:00,2019,1,1,January,74
Concord,CA,37.97,-122.03,,,30,,68,1/1/2019 0:00,2019,1,1,January,68
Confederated Tribes & Bands of Yakama Nations,WA,46.3802,-120.3327,,,,,70,1/1/2019 0:00,2019,1,1,January,70
"Coos, Lower Umpqua & Siuslaw Indians of Oregon",OR,43.3819,-124.2639,,,,,17,1/1/2019 0:00,2019,1,1,January,17
Corpus Christi,TX,27.8,-97.384,,,16,,87,1/1/2019 0:00,2019,1,1,January,87
Corvallis,OR,44.5884,-123.2673,,,,,66,1/1/2019 0:00,2019,1,1,January,66
Cottage Grove,OR,43.7995,-123.0535,,,,,76,1/1/2019 0:00,2019,1,1,January,76
Craters of the Moon National Monument,ID,43.4606,-113.5622,,,33,,,1/1/2019 0:00,2019,1,1,January,33
Dallas-Fort Worth,TX,32.767,-96.783,,,32,,30,1/1/2019 0:00,2019,1,1,January,32
Danbury,CT,41.4014,-73.4464,,,,23,65,1/1/2019 0:00,2019,1,1,January,65
Darrington,WA,48.248,-121.6032,,,,,68,1/1/2019 0:00,2019,1,1,January,68
Davis,CA,38.5448,-121.7411,,,31,,76,1/1/2019 0:00,2019,1,1,January,76
Dayton,OH,39.7591,-84.1913,,,22,,53,1/1/2019 0:00,2019,1,1,January,53
Daytona Beach,FL,29.2072,-81.0378,,,39,,,1/1/2019 0:00,2019,1,1,January,39
Death Valley National Park,CA,36.5092,-116.8481,,,39,,,1/1/2019 0:00,2019,1,1,January,39
Decatur,IL,39.8529,-88.9369,,,15,,31,1/1/2019 0:00,2019,1,1,January,31
Delaware,DE,39.0647,-75.579,,,30,,53,1/1/2019 0:00,2019,1,1,January,53
Denver,CO,39.768,-104.873,,,33,57,74,1/1/2019 0:00,2019,1,1,January,74
Des Moines,IA,41.535,-93.66,,,22,,31,1/1/2019 0:00,2019,1,1,January,31
Detroit,MI,42.233,-83.333,,,16,10,48,1/1/2019 0:00,2019,1,1,January,48
Detroit Lakes,MN,46.8511,-95.8467,,,,,45,1/1/2019 0:00,2019,1,1,January,45
Dona Ana County,NM,31.9187,-106.633,,,41,48,,1/1/2019 0:00,2019,1,1,January,48
Douglas,WY,42.76,-105.38,,,32,13,,1/1/2019 0:00,2019,1,1,January,32
Downeast Coast 1,ME,44.5319,-67.5959,,,31,,17,1/1/2019 0:00,2019,1,1,January,31
Downeast Coast 2,ME,44.9636,-67.0608,,,31,,17,1/1/2019 0:00,2019,1,1,January,31
Duluth,MN,46.7438,-92.1669,,,31,,40,1/1/2019 0:00,2019,1,1,January,40
E San Bernardino,CA,34.0588,-117.1477,3,9,35,21,29,1/1/2019 0:00,2019,1,1,January,35
E San Fernando Vly,CA,34.1758,-118.3169,15,19,38,19,53,1/1/2019 0:00,2019,1,1,January,53
E San Gabriel V-1,CA,34.1363,-117.9238,5,11,41,19,41,1/1/2019 0:00,2019,1,1,January,41
E San Gabriel V-2,CA,34.1444,-117.85,5,11,41,19,41,1/1/2019 0:00,2019,1,1,January,41
Eagle River,AK,61.3124,-149.5678,,,,,13,1/1/2019 0:00,2019,1,1,January,13
East Riverside CO,CA,33.8077,-115.457,3,9,40,53,21,1/1/2019 0:00,2019,1,1,January,53
Eastern Interior 1,ME,45.022,-68.7723,,,,,50,1/1/2019 0:00,2019,1,1,January,50
Eastern Interior 2,ME,44.8174,-68.7728,,,,,50,1/1/2019 0:00,2019,1,1,January,50
Eastern Interior 3,ME,44.7365,-68.6711,,,,,50,1/1/2019 0:00,2019,1,1,January,50
Eastern Lake Ontario Region,NY,43.5263,-76.8398,,,28,,43,1/1/2019 0:00,2019,1,1,January,43
Eastern Laramie County,WY,41.0802,-104.402,,,21,15,54,1/1/2019 0:00,2019,1,1,January,54
Eastern Shore,MD,39.0423,-75.8619,,,25,,29,1/1/2019 0:00,2019,1,1,January,29
Eastern U.P.,MI,46.3456,-85.9453,,,,,33,1/1/2019 0:00,2019,1,1,January,33
Eau Claire,WI,44.811,-91.498,,,,,38,1/1/2019 0:00,2019,1,1,January,38
El Centro,CA,32.6761,-115.4833,,,25,61,84,1/1/2019 0:00,2019,1,1,January,84
El Dorado Springs,MO,37.701,-94.0347,,,,,27,1/1/2019 0:00,2019,1,1,January,27
El Paso,TX,31.8493,-106.4375,,,44,40,75,1/1/2019 0:00,2019,1,1,January,75
Elizabethtown,KY,37.71,-85.85,,,,,23,1/1/2019 0:00,2019,1,1,January,23
Elk Grove,CA,38.4086,-121.3733,,,31,,102,1/1/2019 0:00,2019,1,1,January,102
Elko,NV,40.8324,-115.7631,,,,8,,1/1/2019 0:00,2019,1,1,January,8
Ellensburg,WA,46.9936,-120.545,,,,,48,1/1/2019 0:00,2019,1,1,January,48
Eloy,AZ,32.7576,-111.5549,,,,16,,1/1/2019 0:00,2019,1,1,January,16
Ely,MN,47.9464,-91.4953,,,,,20,1/1/2019 0:00,2019,1,1,January,20
Enterprise,OR,45.4264,-117.2961,,,,,80,1/1/2019 0:00,2019,1,1,January,80
Erie,PA,42.1292,-80.0851,,,20,,27,1/1/2019 0:00,2019,1,1,January,27
Eugene/Springfield,OR,44.0264,-123.0822,,,,,86,1/1/2019 0:00,2019,1,1,January,86
Eureka,CA,40.8021,-124.1637,,,29,24,20,1/1/2019 0:00,2019,1,1,January,29
Evanston,WY,41.27,-110.96,,,25,10,,1/1/2019 0:00,2019,1,1,January,25
Evansville,IN,38.022,-87.569,,,19,,12,1/1/2019 0:00,2019,1,1,January,19
Everett-Marysville-Lynnwood,WA,48.0551,-122.1758,,,,,132,1/1/2019 0:00,2019,1,1,January,132
Fairbanks,AK,64.8436,-147.7231,,,3,,39,1/1/2019 0:00,2019,1,1,January,39
Fairfield,CA,38.25,-122.04,,,35,,68,1/1/2019 0:00,2019,1,1,January,68
Fairhaven,MA,41.6353,-70.8814,,,36,,,1/1/2019 0:00,2019,1,1,January,36
Fall River,MA,41.6853,-71.1664,,,35,,31,1/1/2019 0:00,2019,1,1,January,35
Fallon,NV,39.4725,-118.7836,,,33,,,1/1/2019 0:00,2019,1,1,January,33
Fargo,ND,46.9336,-96.8547,,,31,6,18,1/1/2019 0:00,2019,1,1,January,31
Fayetteville,NC,35.072,-78.9,,,,11,40,1/1/2019 0:00,2019,1,1,January,40
Fernley,NV,39.6027,-119.2479,,,33,,,1/1/2019 0:00,2019,1,1,January,33
Flathead Valley,MT,48.3637,-114.1893,,,,27,38,1/1/2019 0:00,2019,1,1,January,38
Flemington,NJ,40.5167,-74.81,,,30,,62,1/1/2019 0:00,2019,1,1,January,62
Flint,MI,43.0146,-83.6959,,,,,46,1/1/2019 0:00,2019,1,1,January,46
Florence/Darlington,SC,34.18,-79.72,,,19,,59,1/1/2019 0:00,2019,1,1,January,59
Folsom,CA,38.6767,-121.1461,,,36,,102,1/1/2019 0:00,2019,1,1,January,102
Fond du Lac,WI,43.76,-88.44,,,33,15,53,1/1/2019 0:00,2019,1,1,January,53
Forest County Potawatomi Community,WI,45.5639,-88.81,,,35,,40,1/1/2019 0:00,2019,1,1,January,40
Forsyth County-Winston-Salem-Greensboro-High Point,NC,36.051,-80.144,,,27,17,60,1/1/2019 0:00,2019,1,1,January,60
Fort Bragg,CA,39.4373,-123.7877,,,28,11,,1/1/2019 0:00,2019,1,1,January,28
Fort Collins,CO,40.5855,-105.085,,,27,22,70,1/1/2019 0:00,2019,1,1,January,70
Fort Lee,NJ,40.8544,-73.9683,,,30,,60,1/1/2019 0:00,2019,1,1,January,60
Fort Myers,FL,26.6317,-81.8572,,,38,16,,1/1/2019 0:00,2019,1,1,January,38
Fort Pierce,FL,27.4389,-80.3356,,,36,,30,1/1/2019 0:00,2019,1,1,January,36
Fort Wayne,IN,41.095,-85.1,,,20,,43,1/1/2019 0:00,2019,1,1,January,43
Four Corners Area,CO,37.2718,-107.882,,,32,,,1/1/2019 0:00,2019,1,1,January,32
Franklin County,ID,42.0133,-111.8092,,,,,70,1/1/2019 0:00,2019,1,1,January,70
Fremont,CA,37.55,-122.03,,,33,,47,1/1/2019 0:00,2019,1,1,January,47
Fresno,CA,36.7806,-119.7929,,,50,51,134,1/1/2019 0:00,2019,1,1,January,134
Ft. Lauderdale,FL,26.143,-80.139,,,33,,31,1/1/2019 0:00,2019,1,1,January,33
Gainesville,FL,29.6519,-82.325,,,37,,,1/1/2019 0:00,2019,1,1,January,37
Garden Valley,ID,44.1047,-115.9731,,,,,36,1/1/2019 0:00,2019,1,1,January,36
Gardnerville,NV,38.8976,-119.7321,,,,,56,1/1/2019 0:00,2019,1,1,January,56
Gaviota Coast,CA,34.4897,-120.0469,,,37,17,,1/1/2019 0:00,2019,1,1,January,37
Gila River Indian Community,AZ,33.0695,-111.7601,,,30,18,,1/1/2019 0:00,2019,1,1,January,30
Gillette,WY,44.29,-105.5,,,24,,,1/1/2019 0:00,2019,1,1,January,24
Goleta,CA,34.4453,-119.8277,,,31,19,40,1/1/2019 0:00,2019,1,1,January,40
Grand Canyon National Park,AZ,36.055,-112.1531,,,39,,,1/1/2019 0:00,2019,1,1,January,39
Grand Junction,CO,39.0666,-108.5625,,,22,,,1/1/2019 0:00,2019,1,1,January,22
Grand Portage,MN,47.9721,-89.6908,,,,,45,1/1/2019 0:00,2019,1,1,January,45
Grand Rapids,MI,42.833,-85.517,,,23,,32,1/1/2019 0:00,2019,1,1,January,32
Grangeville,ID,45.9274,-116.1059,,,,,56,1/1/2019 0:00,2019,1,1,January,56
Grants Pass,OR,42.434,-123.348,,,,,80,1/1/2019 0:00,2019,1,1,January,80
Great Basin Air District,CA,37.3615,-118.3952,,,36,44,64,1/1/2019 0:00,2019,1,1,January,64
Great Basin National Park,NV,39.0053,-114.2158,,,36,,,1/1/2019 0:00,2019,1,1,January,36
Great Falls,MT,47.4943,-111.3033,,,,,32,1/1/2019 0:00,2019,1,1,January,32
Great Smoky Mtns. Natl. Park - TN,TN,35.6331,-83.9415,,,40,,42,1/1/2019 0:00,2019,1,1,January,42
Greeley,CO,40.4061,-104.7225,,,19,,45,1/1/2019 0:00,2019,1,1,January,45
Greeley Hill,CA,37.7403,-120.1322,,,,,25,1/1/2019 0:00,2019,1,1,January,25
Green Bay,WI,44.52,-87.92,,,,,38,1/1/2019 0:00,2019,1,1,January,38
Green River,WY,41.75,-109.79,,,26,8,,1/1/2019 0:00,2019,1,1,January,26
Greenfield,MA,42.6058,-72.5967,,,26,,67,1/1/2019 0:00,2019,1,1,January,67
Greenville,NC,35.6376,-77.3818,,,,7,28,1/1/2019 0:00,2019,1,1,January,28
Greenville-Spartanburg,SC,34.919,-82.149,,,38,19,53,1/1/2019 0:00,2019,1,1,January,53
Greenwich,CT,41.0036,-73.5853,,,,,21,1/1/2019 0:00,2019,1,1,January,21
Gridley,CA,39.3083,-121.7583,,,,,32,1/1/2019 0:00,2019,1,1,January,32
Hamilton,MT,46.2436,-114.1589,,,,,53,1/1/2019 0:00,2019,1,1,January,53
Hamilton County,FL,30.476,-82.95,,,31,,32,1/1/2019 0:00,2019,1,1,January,32
Hammond-Gary,IN,41.631,-87.087,,,31,12,35,1/1/2019 0:00,2019,1,1,January,35
Hampton Roads,VA,36.9,-76.19,,,,,25,1/1/2019 0:00,2019,1,1,January,25
Hanford,CA,36.325,-119.647,,,50,,127,1/1/2019 0:00,2019,1,1,January,127
Hannover,ND,47.1858,-101.4281,,,33,10,20,1/1/2019 0:00,2019,1,1,January,33
Hartford,CT,41.785,-72.63,,,25,12,40,1/1/2019 0:00,2019,1,1,January,40
Hattiesburg,MS,31.3271,-89.2903,,,,,32,1/1/2019 0:00,2019,1,1,January,32
Haverhill,MA,42.7736,-71.105,,,31,,53,1/1/2019 0:00,2019,1,1,January,53
Hazard,KY,37.28,-83.22,,,,,28,1/1/2019 0:00,2019,1,1,January,28
Helena,MT,46.596,-112.027,,,31,,38,1/1/2019 0:00,2019,1,1,January,38
Hemet/San Jacinto,CA,33.7783,-116.9127,3,9,40,21,33,1/1/2019 0:00,2019,1,1,January,40
Hernando,MS,34.8275,-89.9889,,,,,45,1/1/2019 0:00,2019,1,1,January,45
Hesperia,CA,34.4163,-117.2855,6,9,37,54,25,1/1/2019 0:00,2019,1,1,January,54
Hiawatha Field,WY,41.16,-108.62,,,33,,,1/1/2019 0:00,2019,1,1,January,33
Hickory,NC,35.739,-81.326,,,21,,40,1/1/2019 0:00,2019,1,1,January,40
Hidden Valley,AZ,32.8848,-112.037,,,,37,45,1/1/2019 0:00,2019,1,1,January,45
Highlands County,FL,27.34,-81.34,,,36,,28,1/1/2019 0:00,2019,1,1,January,36
Hillsboro,OR,45.5285,-122.9724,,,,,105,1/1/2019 0:00,2019,1,1,January,105
Hilo,HI,19.7175,-155.1103,,,,,18,1/1/2019 0:00,2019,1,1,January,18
Holiday,FL,28.3789,-82.4288,,,39,,,1/1/2019 0:00,2019,1,1,January,39
Hollywood,FL,26.043,-80.133,,,33,,,1/1/2019 0:00,2019,1,1,January,33
"Holmes, Jackson, and Washington Counties",FL,30.732,-85.571,,,30,,24,1/1/2019 0:00,2019,1,1,January,30
Honolulu,HI,21.3046,-157.8601,,,32,19,31,1/1/2019 0:00,2019,1,1,January,32
Houghton Lake,MI,44.3147,-84.7647,,,29,,,1/1/2019 0:00,2019,1,1,January,29
Houston-Galveston-Brazoria,TX,29.751,-95.351,,,28,,58,1/1/2019 0:00,2019,1,1,January,58
Huntsville,AL,34.69,-86.59,,,,,38,1/1/2019 0:00,2019,1,1,January,38
Idaho City,ID,43.823,-115.8386,,,,,55,1/1/2019 0:00,2019,1,1,January,55
Idaho Falls,ID,43.5183,-111.9792,,,,,60,1/1/2019 0:00,2019,1,1,January,60
Imperial Valley,CA,32.7919,-115.5637,,,28,61,84,1/1/2019 0:00,2019,1,1,January,84
Inchelium,WA,48.297,-118.2024,,,,,8,1/1/2019 0:00,2019,1,1,January,8
Indiana County,PA,40.6851,-79.1097,,,27,,,1/1/2019 0:00,2019,1,1,January,27
Indianapolis,IN,39.749,-86.186,,,19,5,33,1/1/2019 0:00,2019,1,1,January,33
Jackson,MS,32.3302,-90.166,,,,,26,1/1/2019 0:00,2019,1,1,January,26
Jackson,WY,43.4799,-110.7624,,,29,2,,1/1/2019 0:00,2019,1,1,January,29
Jacksonville,FL,30.335,-81.658,,,28,18,53,1/1/2019 0:00,2019,1,1,January,53
John Day,OR,44.418,-118.9513,,,,,73,1/1/2019 0:00,2019,1,1,January,73
Johnson County,WY,43.87,-106.51,,,19,12,,1/1/2019 0:00,2019,1,1,January,19
Johnstown,PA,40.3267,-78.922,,,23,,,1/1/2019 0:00,2019,1,1,January,23
Joliet/Will County,IL,41.4681,-87.9734,,,16,,58,1/1/2019 0:00,2019,1,1,January,58
Joshua Tree National Park,CA,34.0714,-116.3906,,,38,,,1/1/2019 0:00,2019,1,1,January,38
Juneau,AK,58.3,-134.4167,,,,,26,1/1/2019 0:00,2019,1,1,January,26
Kalamazoo,MI,42.2747,-85.5883,,,,,28,1/1/2019 0:00,2019,1,1,January,28
Kamiah - Nez Perce Reservation,ID,46.2094,-116.0274,,,,,41,1/1/2019 0:00,2019,1,1,January,41
Kansas City,MO,39.122,-94.552,,,21,15,40,1/1/2019 0:00,2019,1,1,January,40
Kapolei,HI,21.3236,-158.0886,,,,17,17,1/1/2019 0:00,2019,1,1,January,17
