reporting_area,state_code,lat,lang,CO,NO2,OZONE,PM10,PM2.5,date,year,month,weekday,month_name,AQI
Klamath Falls,OR,42.1904,-121.7313,,,,,17,4/1/2020 0:00,2020,4,2,April,17
Knoxville,TN,35.975,-83.946,,,50,,43,4/1/2020 0:00,2020,4,2,April,50
Kona,HI,19.5097,-155.9133,,,,,10,4/1/2020 0:00,2020,4,2,April,10
La Crosse,WI,43.7781,-91.225,,,34,,18,4/1/2020 0:00,2020,4,2,April,34
Laconia,NH,43.5728,-71.4189,,,42,,,4/1/2020 0:00,2020,4,2,April,42
Lafayette,LA,30.2258,-92.0428,,,49,,57,4/1/2020 0:00,2020,4,2,April,57
Lake Charles,LA,30.2278,-93.5797,,,49,,61,4/1/2020 0:00,2020,4,2,April,61
Lake County,FL,28.703,-81.779,,,39,,51,4/1/2020 0:00,2020,4,2,April,51
Lake Elsinore,CA,33.6763,-117.3308,4,20,74,29,46,4/1/2020 0:00,2020,4,2,April,74
Lakeland,FL,28.0292,-81.9722,,,32,29,47,4/1/2020 0:00,2020,4,2,April,47
Lakeview,OR,42.1892,-120.354,,,,,22,4/1/2020 0:00,2020,4,2,April,22
Lander,WY,42.53,-108.72,,,44,,18,4/1/2020 0:00,2020,4,2,April,44
Lansing,MI,42.7408,-84.5447,,,25,,21,4/1/2020 0:00,2020,4,2,April,25
Lapwai - Nez Perce Reservation,ID,46.3972,-116.8061,,,,,15,4/1/2020 0:00,2020,4,2,April,15
Laredo,TX,27.5069,-99.5079,,,54,,55,4/1/2020 0:00,2020,4,2,April,55
Las Vegas,NV,36.206,-115.223,,,51,51,30,4/1/2020 0:00,2020,4,2,April,51
Lassen Volcanic National Park,CA,40.5403,-121.5764,,,43,,,4/1/2020 0:00,2020,4,2,April,43
Lawton,OK,34.6,-98.423,,,46,9,30,4/1/2020 0:00,2020,4,2,April,46
Leavenworth,WA,47.5988,-120.6647,,,,,9,4/1/2020 0:00,2020,4,2,April,9
Lebanon,NH,43.6274,-72.3102,,,38,,13,4/1/2020 0:00,2020,4,2,April,38
Lee County,NC,35.4751,-79.1716,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Leech Lake Nation: Cass Lake,MN,47.3505,-94.2624,,,,,27,4/1/2020 0:00,2020,4,2,April,27
Lehigh Valley,PA,40.614,-75.59,,,40,,37,4/1/2020 0:00,2020,4,2,April,40
Lenoir County,NC,35.2387,-77.6411,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Lewiston,ID,46.4047,-117.0178,,,,,15,4/1/2020 0:00,2020,4,2,April,15
Lewistown,MT,47.0485,-109.4553,,,43,9,28,4/1/2020 0:00,2020,4,2,April,43
Lexington,KY,38.0491,-84.4999,,,27,,26,4/1/2020 0:00,2020,4,2,April,27
Libby,MT,48.388,-115.554,,,,11,30,4/1/2020 0:00,2020,4,2,April,30
Liberty/Clairton area,PA,40.3239,-79.8683,,,,,38,4/1/2020 0:00,2020,4,2,April,38
Lima,OH,40.771,-84.0538,,,26,,,4/1/2020 0:00,2020,4,2,April,26
Lincoln,CA,38.89,-121.3,,,,,46,4/1/2020 0:00,2020,4,2,April,46
Lincoln,NE,40.8125,-96.6756,,,44,,,4/1/2020 0:00,2020,4,2,April,44
Lincoln County,NC,35.4856,-81.2235,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Little Rock,AR,34.722,-92.354,,,50,,49,4/1/2020 0:00,2020,4,2,April,50
Livermore,CA,37.68,-121.77,,,39,,31,4/1/2020 0:00,2020,4,2,April,39
Logan,UT,41.7391,-111.8164,,,38,,,4/1/2020 0:00,2020,4,2,April,38
Lompoc,CA,34.6375,-120.4564,,,38,26,33,4/1/2020 0:00,2020,4,2,April,38
Londonderry,NH,42.8674,-71.3401,,,44,,19,4/1/2020 0:00,2020,4,2,April,44
Long Island,NY,40.768,-73.6202,,,41,,20,4/1/2020 0:00,2020,4,2,April,41
Longview,WA,46.1427,-122.9556,,,,,8,4/1/2020 0:00,2020,4,2,April,8
Lostwood,ND,48.6419,-102.4022,,,31,8,19,4/1/2020 0:00,2020,4,2,April,31
Louisville,KY,38.264,-85.712,,,33,14,46,4/1/2020 0:00,2020,4,2,April,46
Lower Hudson Valley Region,NY,41.74,-73.7654,,,39,,20,4/1/2020 0:00,2020,4,2,April,39
Lubbock,TX,33.5961,-101.8539,,,,,21,4/1/2020 0:00,2020,4,2,April,21
Ludington,MI,43.9553,-86.4525,,,30,,38,4/1/2020 0:00,2020,4,2,April,38
Lynn,MA,42.4744,-70.9725,,,40,,25,4/1/2020 0:00,2020,4,2,April,40
Lyons,OR,44.7787,-122.617,,,,,12,4/1/2020 0:00,2020,4,2,April,12
Macon,GA,32.8408,-83.6325,,,32,18,43,4/1/2020 0:00,2020,4,2,April,43
Macon County,NC,35.1504,-83.4226,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Madera,CA,36.968,-120.077,,,43,,,4/1/2020 0:00,2020,4,2,April,43
Madison,CT,41.2583,-72.5506,,,40,,,4/1/2020 0:00,2020,4,2,April,40
Madison,WI,43.12,-89.36,,,,,32,4/1/2020 0:00,2020,4,2,April,32
Madison County,NC,35.858,-82.7061,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Madras,OR,44.6306,-121.1317,,,,,12,4/1/2020 0:00,2020,4,2,April,12
Makah Indian Tribe of Makah Indian Reservation,WA,48.3661,-124.61,,,,,17,4/1/2020 0:00,2020,4,2,April,17
Malta,MT,48.3175,-107.8625,,,31,10,20,4/1/2020 0:00,2020,4,2,April,31
Mammoth Cave National Park,KY,37.1319,-86.1478,,,38,,,4/1/2020 0:00,2020,4,2,April,38
Mammoth Lakes,CA,37.6481,-118.9733,,,,13,20,4/1/2020 0:00,2020,4,2,April,20
Manchester,NH,42.9928,-71.4594,,,43,,,4/1/2020 0:00,2020,4,2,April,43
Maple Falls,WA,48.9477,-122.1471,,,,,19,4/1/2020 0:00,2020,4,2,April,19
Mark Twain State Park,MO,39.4751,-91.789,,,44,17,,4/1/2020 0:00,2020,4,2,April,44
Marshall,MN,44.4572,-95.835,,,36,,33,4/1/2020 0:00,2020,4,2,April,36
Martin County,NC,35.8426,-77.108,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Martinsburg,WV,39.4656,-77.9583,,,31,,,4/1/2020 0:00,2020,4,2,April,31
McCall,ID,44.9069,-116.1065,,,,,20,4/1/2020 0:00,2020,4,2,April,20
McDowell County,NC,35.6816,-82.0491,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Mecklenburg County,NC,35.227,-80.843,,,58,,40,4/1/2020 0:00,2020,4,2,April,58
Medford,OR,42.3142,-122.8792,,,,,15,4/1/2020 0:00,2020,4,2,April,15
Medicine Bow National Forest,WY,41.36,-106.24,,,45,,,4/1/2020 0:00,2020,4,2,April,45
Melbourne,FL,28.115,-80.6319,,,43,20,,4/1/2020 0:00,2020,4,2,April,43
Memphis,TN,35.106,-90.001,,,51,,52,4/1/2020 0:00,2020,4,2,April,52
Merced,CA,37.2963,-120.4844,,,40,,27,4/1/2020 0:00,2020,4,2,April,40
Mercer County,PA,41.262,-80.1875,,,43,,22,4/1/2020 0:00,2020,4,2,April,43
Meridian,MS,32.3643,-88.7037,,,33,,,4/1/2020 0:00,2020,4,2,April,33
Mesa Verde National Park,CO,37.1983,-108.4903,,,44,,,4/1/2020 0:00,2020,4,2,April,44
Metro Riverside CO,CA,34.0005,-117.4152,4,20,74,40,53,4/1/2020 0:00,2020,4,2,April,74
Metropolitan Baltimore,MD,39.301,-76.611,,,41,,30,4/1/2020 0:00,2020,4,2,April,41
Metropolitan Washington,DC,38.919,-77.013,,,37,7,29,4/1/2020 0:00,2020,4,2,April,37
Mexicali,MX,32.6245,-115.4523,,,51,73,103,4/1/2020 0:00,2020,4,2,April,103
Mexico City,MX,19.4285,-99.1277,,,150,78,118,4/1/2020 0:00,2020,4,2,April,150
Miami,FL,25.776,-80.211,,,44,,49,4/1/2020 0:00,2020,4,2,April,49
Mid-Coast,ME,44.377,-68.2609,,,42,,8,4/1/2020 0:00,2020,4,2,April,42
Middletown,CT,41.5519,-72.6308,,,,,25,4/1/2020 0:00,2020,4,2,April,25
Midland-Odessa,TX,31.9974,-102.0789,,,,,25,4/1/2020 0:00,2020,4,2,April,25
Mille Lacs,MN,46.21,-93.76,,,40,,23,4/1/2020 0:00,2020,4,2,April,40
Millville,NJ,39.4222,-75.0258,,,40,,38,4/1/2020 0:00,2020,4,2,April,40
Milton - Blue Hill Observatory,MA,42.2122,-71.1158,,,35,,,4/1/2020 0:00,2020,4,2,April,35
Milwaukee,WI,43.07,-87.88,,,28,7,28,4/1/2020 0:00,2020,4,2,April,28
Minneapolis-St. Paul,MN,44.955,-93.185,,,20,,41,4/1/2020 0:00,2020,4,2,April,41
Mississippi Gulf Coast,MS,30.37,-89.1,,,50,,40,4/1/2020 0:00,2020,4,2,April,50
Missoula,MT,46.8423,-114.0205,,,38,7,28,4/1/2020 0:00,2020,4,2,April,38
Mitchell County,NC,36.0131,-82.1639,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Mobile,AL,30.683,-88.25,,,50,,,4/1/2020 0:00,2020,4,2,April,50
Modesto,CA,37.6598,-120.9939,,,50,14,42,4/1/2020 0:00,2020,4,2,April,50
Monmouth,NJ,40.1881,-74.0061,,,40,,30,4/1/2020 0:00,2020,4,2,April,40
Mono Lake,CA,38.0697,-118.9477,,,,6,,4/1/2020 0:00,2020,4,2,April,6
Monroe,LA,32.5097,-92.0461,,,43,,50,4/1/2020 0:00,2020,4,2,April,50
Montgomery County,NC,35.3324,-79.9057,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Moore County,NC,35.311,-79.4818,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Moorhead,MN,46.8738,-96.7678,,,37,11,34,4/1/2020 0:00,2020,4,2,April,37
Morgantown,WV,39.6489,-79.9211,,,29,,,4/1/2020 0:00,2020,4,2,April,29
Morro Bay,CA,35.36,-120.83,,,37,17,26,4/1/2020 0:00,2020,4,2,April,37
Moscow,ID,46.728,-116.9557,,,,,10,4/1/2020 0:00,2020,4,2,April,10
Moses Lake,WA,47.1303,-119.2726,,,,,11,4/1/2020 0:00,2020,4,2,April,11
Mount Vernon,WA,48.41,-122.3375,,,,,5,4/1/2020 0:00,2020,4,2,April,5
Mountain View,HI,19.57,-155.0777,,,,,15,4/1/2020 0:00,2020,4,2,April,15
Moxa Arch,WY,41.7506,-109.7897,,,44,5,,4/1/2020 0:00,2020,4,2,April,44
Muscatine,IA,41.4239,-91.0561,,,,,20,4/1/2020 0:00,2020,4,2,April,20
Myrtle Beach,SC,33.8005,-78.9941,,,38,,,4/1/2020 0:00,2020,4,2,April,38
Myton,UT,40.1944,-110.0618,,,45,,,4/1/2020 0:00,2020,4,2,April,45
N Coastal Orange,CA,33.6738,-117.9258,2,20,46,22,49,4/1/2020 0:00,2020,4,2,April,49
NW Coastal LA,CA,34.0505,-118.4566,4,20,47,21,53,4/1/2020 0:00,2020,4,2,April,53
NW San Bernardino,CA,34.1038,-117.6291,4,21,67,33,57,4/1/2020 0:00,2020,4,2,April,67
Napa,CA,38.33,-122.28,,,38,,19,4/1/2020 0:00,2020,4,2,April,38
Naples,FL,26.142,-81.7948,,,41,,36,4/1/2020 0:00,2020,4,2,April,41
Narragansett,RI,41.4942,-71.4219,,,37,,8,4/1/2020 0:00,2020,4,2,April,37
Nash County,NC,35.9676,-77.9862,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Nashua,NH,42.7019,-71.445,,,43,,,4/1/2020 0:00,2020,4,2,April,43
Nashville,TN,36.171,-86.785,,,50,,43,4/1/2020 0:00,2020,4,2,April,50
Nassau County,FL,30.5927,-81.822,,,30,,,4/1/2020 0:00,2020,4,2,April,30
Natomas,CA,38.6507,-121.5067,,,,,50,4/1/2020 0:00,2020,4,2,April,50
Nespelem,WA,48.1653,-118.9842,,,,,0,4/1/2020 0:00,2020,4,2,April,0
New Brunswick,NJ,40.4728,-74.4225,,,40,,35,4/1/2020 0:00,2020,4,2,April,40
New Hanover County,NC,34.273,-77.9079,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
New Haven,CT,41.3392,-72.9214,,,39,8,33,4/1/2020 0:00,2020,4,2,April,39
New Jersey,NJ,40.248,-74.49,,,41,,38,4/1/2020 0:00,2020,4,2,April,41
New Jersey Highlands,NJ,41,-74.75,,,40,,35,4/1/2020 0:00,2020,4,2,April,40
New London-Groton,CT,41.343,-72.03,,,41,9,21,4/1/2020 0:00,2020,4,2,April,41
New Orleans,LA,30.066,-89.931,,,48,,63,4/1/2020 0:00,2020,4,2,April,63
New York City Region,NY,40.8419,-73.8359,,,40,8,28,4/1/2020 0:00,2020,4,2,April,40
Newark,NJ,40.7267,-74.1442,,,40,,35,4/1/2020 0:00,2020,4,2,April,40
Newcastle,WY,43.88,-104.19,,,42,,,4/1/2020 0:00,2020,4,2,April,42
Nez Perce Reservation,ID,46.335,-116.5359,,,35,,,4/1/2020 0:00,2020,4,2,April,35
Niland,CA,33.2136,-115.5444,,,77,78,93,4/1/2020 0:00,2020,4,2,April,93
Nipomo,CA,35.03,-120.48,,,37,106,92,4/1/2020 0:00,2020,4,2,April,106
Nogales,AZ,31.3372,-110.9367,,,,29,28,4/1/2020 0:00,2020,4,2,April,29
Norco/Corona,CA,33.8584,-117.5285,3,16,48,40,53,4/1/2020 0:00,2020,4,2,April,53
North & West Suburbs (Chicago),IL,42.06,-87.8636,,,30,,35,4/1/2020 0:00,2020,4,2,April,35
North Adams,MA,42.7022,-73.1104,,,,,30,4/1/2020 0:00,2020,4,2,April,30
North Highlands,CA,38.7121,-121.3811,,,37,,50,4/1/2020 0:00,2020,4,2,April,50
North Orange CO,CA,34.9252,-117.9522,5,22,58,22,42,4/1/2020 0:00,2020,4,2,April,58
North Pole,AK,64.7511,-147.3519,,,,,18,4/1/2020 0:00,2020,4,2,April,18
North Ridges,NC,36.1111,-81.8114,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
North Twin Cities Metro,MN,45.21,-93.28,,,40,6,30,4/1/2020 0:00,2020,4,2,April,40
Northampton County,NC,36.4181,-77.3973,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Northern,ME,46.6823,-68.0162,,,44,56,52,4/1/2020 0:00,2020,4,2,April,56
Northern Kentucky,KY,38.97,-84.66,,,30,,26,4/1/2020 0:00,2020,4,2,April,30
Northern Virginia,VA,38.834,-77.276,,,37,7,29,4/1/2020 0:00,2020,4,2,April,37
Oak Harbor,WA,48.293,-122.6594,,,,,8,4/1/2020 0:00,2020,4,2,April,8
Oakland,CA,37.8,-122.27,,,37,,32,4/1/2020 0:00,2020,4,2,April,37
Oakridge,OR,43.7444,-122.4806,,,,,15,4/1/2020 0:00,2020,4,2,April,15
Ocala,FL,29.1871,-82.1404,,,30,,57,4/1/2020 0:00,2020,4,2,April,57
Ocean County/Colliers Mills,NJ,40.0653,-74.4456,,,40,,30,4/1/2020 0:00,2020,4,2,April,40
Ocean View,HI,19.1176,-155.7781,,,,,19,4/1/2020 0:00,2020,4,2,April,19
Ogden,UT,41.2259,-111.9722,,,40,,,4/1/2020 0:00,2020,4,2,April,40
Ojai,CA,34.448,-119.2313,,,45,,46,4/1/2020 0:00,2020,4,2,April,46
Okaloosa County,FL,30.577,-86.661,,,37,,,4/1/2020 0:00,2020,4,2,April,37
Oklahoma City,OK,35.467,-97.513,,,48,19,50,4/1/2020 0:00,2020,4,2,April,50
Olympia-Lacey-Tumwater,WA,47.0292,-122.8213,,,32,,13,4/1/2020 0:00,2020,4,2,April,32
Omaha,NE,41.2655,-95.9836,5,,40,32,55,4/1/2020 0:00,2020,4,2,April,55
Omak,WA,48.3999,-119.519,,,,,25,4/1/2020 0:00,2020,4,2,April,25
Onslow County,NC,34.7303,-77.4274,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Orange County,NC,36.0612,-79.1206,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Orlando,FL,28.505,-81.374,,,39,,51,4/1/2020 0:00,2020,4,2,April,51
Osceola County,FL,28.102,-81.0755,,,39,,51,4/1/2020 0:00,2020,4,2,April,51
Ouray,UT,40.0891,-109.6774,,,44,,,4/1/2020 0:00,2020,4,2,April,44
Owens Lake,CA,36.4365,-117.9601,,,,9,15,4/1/2020 0:00,2020,4,2,April,15
Owensboro,KY,37.7719,-87.1112,,,35,,22,4/1/2020 0:00,2020,4,2,April,35
Oxnard,CA,34.2524,-119.1432,,,45,28,39,4/1/2020 0:00,2020,4,2,April,45
Paducah,KY,37.06,-88.57,,,42,,17,4/1/2020 0:00,2020,4,2,April,42
Pahala,HI,19.2038,-155.48,,,,,13,4/1/2020 0:00,2020,4,2,April,13
Pahrump,NV,36.2083,-115.9839,,,,16,,4/1/2020 0:00,2020,4,2,April,16
Pamlico County,NC,35.1471,-76.7285,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Paradise,CA,39.7564,-121.6044,,,40,,,4/1/2020 0:00,2020,4,2,April,40
Paradise Road,CA,34.5416,-119.7914,,,32,,,4/1/2020 0:00,2020,4,2,April,32
Parkersburg,WV,39.325,-81.5522,,,33,,,4/1/2020 0:00,2020,4,2,April,33
Paso Robles,CA,35.63,-120.66,,,40,28,25,4/1/2020 0:00,2020,4,2,April,40
Pasquotank County,NC,36.2952,-76.2838,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Pearl City,HI,21.3928,-157.9691,,,,12,13,4/1/2020 0:00,2020,4,2,April,13
Pender County,NC,34.5247,-77.9054,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Pendleton,OR,45.6522,-118.823,,,,,8,4/1/2020 0:00,2020,4,2,April,8
Pensacola,FL,30.59,-87.33,,,39,,42,4/1/2020 0:00,2020,4,2,April,42
Peoria,IL,40.687,-89.607,,,33,,48,4/1/2020 0:00,2020,4,2,April,48
Perquimans County,NC,36.2048,-76.4387,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Perris Vly,CA,33.7888,-117.2277,6,22,71,40,61,4/1/2020 0:00,2020,4,2,April,71
Person County,NC,36.39,-78.9718,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Petrified Forest National Park,AZ,34.8224,-109.8918,,,44,,,4/1/2020 0:00,2020,4,2,April,44
Phelan,CA,34.425,-117.5897,5,18,67,21,21,4/1/2020 0:00,2020,4,2,April,67
Philadelphia,PA,39.95,-75.151,,,40,10,37,4/1/2020 0:00,2020,4,2,April,40
Phoenix,AZ,33.543,-112.071,,,58,46,37,4/1/2020 0:00,2020,4,2,April,58
Pierre,SD,44.37,-100.29,,,,,20,4/1/2020 0:00,2020,4,2,April,20
Pikeville,KY,37.48,-82.54,,,35,,29,4/1/2020 0:00,2020,4,2,April,35
Pinal Air Park,AZ,32.5083,-111.308,,,62,45,,4/1/2020 0:00,2020,4,2,April,62
Pinal County,AZ,32.954,-111.7622,,,65,75,55,4/1/2020 0:00,2020,4,2,April,75
Pinal County Housing,AZ,32.891,-111.5705,,,,60,,4/1/2020 0:00,2020,4,2,April,60
Pinedale,WY,42.87,-109.87,,,43,,5,4/1/2020 0:00,2020,4,2,April,43
Pinehurst,ID,47.5364,-116.2367,,,,7,45,4/1/2020 0:00,2020,4,2,April,45
Piru,CA,34.4043,-118.8099,,,45,,32,4/1/2020 0:00,2020,4,2,April,45
Pitt County,NC,35.6376,-77.3818,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Pittsburgh,PA,40.434,-79.984,,,44,,39,4/1/2020 0:00,2020,4,2,April,44
Pittsfield,MA,42.448,-73.2553,,,37,,26,4/1/2020 0:00,2020,4,2,April,37
Placerville,CA,38.7296,-120.7992,,,40,,,4/1/2020 0:00,2020,4,2,April,40
Pocatello,ID,42.8767,-112.4472,,,,3,15,4/1/2020 0:00,2020,4,2,April,15
Point Arena,CA,38.9088,-123.6931,,,33,18,,4/1/2020 0:00,2020,4,2,April,33
Polk County,NC,35.2796,-82.1701,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Pomona Walnut Vly,CA,34.0666,-117.75,5,29,49,14,61,4/1/2020 0:00,2020,4,2,April,61
Port Angeles,WA,48.1164,-123.4644,,,,,21,4/1/2020 0:00,2020,4,2,April,21
Port Townsend,WA,48.1292,-122.7794,,,,,17,4/1/2020 0:00,2020,4,2,April,17
Portland,OR,45.538,-122.656,,,36,,50,4/1/2020 0:00,2020,4,2,April,50
Portola,CA,39.8083,-120.4717,,,,,52,4/1/2020 0:00,2020,4,2,April,52
Portsmouth,NH,43.0149,-70.9047,,,39,11,22,4/1/2020 0:00,2020,4,2,April,39
Price,UT,39.5964,-110.7704,,,45,,,4/1/2020 0:00,2020,4,2,April,45
Prineville,OR,44.2998,-120.8448,,,,,7,4/1/2020 0:00,2020,4,2,April,7
Providence,RI,41.817,-71.401,,,41,,18,4/1/2020 0:00,2020,4,2,April,41
Provo,UT,40.2334,-111.6582,,,44,,21,4/1/2020 0:00,2020,4,2,April,44
Pullman,WA,46.7245,-117.1801,,,,,6,4/1/2020 0:00,2020,4,2,April,6
Queen Valley,AZ,33.29,-111.29,,,65,,,4/1/2020 0:00,2020,4,2,April,65
Quincy,CA,39.9369,-120.9478,,,,,23,4/1/2020 0:00,2020,4,2,April,23
Racine-Kenosha,WI,42.55,-87.82,,,30,,17,4/1/2020 0:00,2020,4,2,April,30
Ramapo,NJ,41.0522,-74.0258,,,40,,35,4/1/2020 0:00,2020,4,2,April,40
Rapid City,SD,44.0873,-103.2737,,,39,54,24,4/1/2020 0:00,2020,4,2,April,54
Raymond,WA,46.6855,-123.7272,,,,,19,4/1/2020 0:00,2020,4,2,April,19
Red Bluff,CA,40.1786,-122.2347,,,39,,4,4/1/2020 0:00,2020,4,2,April,39
Red Hills,CA,35.65,-120.38,,,40,9,14,4/1/2020 0:00,2020,4,2,April,40
Red Lake,MN,47.8781,-95.0291,,,,,25,4/1/2020 0:00,2020,4,2,April,25
Redding,CA,40.5497,-122.3792,,,36,,15,4/1/2020 0:00,2020,4,2,April,36
Redwood City,CA,37.48,-122.22,,,38,,27,4/1/2020 0:00,2020,4,2,April,38
Reno-Sparks,NV,39.5,-119.7833,,,47,8,30,4/1/2020 0:00,2020,4,2,April,47
Rexburg (seasonal),ID,43.8095,-111.8005,,,,,24,4/1/2020 0:00,2020,4,2,April,24
Richmond,VA,37.531,-77.475,,,36,,29,4/1/2020 0:00,2020,4,2,April,36
Richmond County,NC,35.0061,-79.7474,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Rider University,NJ,40.2828,-74.7467,,,40,,35,4/1/2020 0:00,2020,4,2,April,40
Rio Vista,CA,38.2183,-121.77,,,,,42,4/1/2020 0:00,2020,4,2,April,42
Roanoke,VA,37.278,-79.958,,,32,,17,4/1/2020 0:00,2020,4,2,April,32
Robeson County,NC,34.6402,-79.1036,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Rochester,MN,43.9947,-92.4497,,,40,,33,4/1/2020 0:00,2020,4,2,April,40
Rock Island-Moline,IL,41.5148,-90.5173,,,32,,34,4/1/2020 0:00,2020,4,2,April,34
Rockford,IL,42.287,-89.077,,,25,,37,4/1/2020 0:00,2020,4,2,April,37
Rocky Mountain National Park,CO,40.2778,-105.5453,,,47,,,4/1/2020 0:00,2020,4,2,April,47
Roseburg,OR,43.2266,-123.3648,,,,,12,4/1/2020 0:00,2020,4,2,April,12
Roseville-Rocklin,CA,38.7712,-121.2631,,,35,11,46,4/1/2020 0:00,2020,4,2,April,46
Rowan County,NC,35.6399,-80.5252,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Rutherford County,NC,35.4024,-81.92,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Rutland,VT,43.6083,-72.9822,,,40,,30,4/1/2020 0:00,2020,4,2,April,40
S Central LA CO,CA,33.9288,-118.2108,5,21,43,25,61,4/1/2020 0:00,2020,4,2,April,61
S San Gabriel Vly,CA,34.0102,-118.0686,4,25,48,17,66,4/1/2020 0:00,2020,4,2,April,66
SW Coastal LA,CA,33.9541,-118.4302,3,15,45,24,66,4/1/2020 0:00,2020,4,2,April,66
SW San Bernardino,CA,34.0017,-117.6585,4,25,61,27,66,4/1/2020 0:00,2020,4,2,April,66
Sacramento,CA,38.567,-121.467,,,37,12,50,4/1/2020 0:00,2020,4,2,April,50
Saddleback Vly,CA,33.6302,-117.675,5,26,44,22,39,4/1/2020 0:00,2020,4,2,April,44
Saginaw,MI,43.4196,-83.9495,,,29,,23,4/1/2020 0:00,2020,4,2,April,29
Saint Louis,MO,38.75,-90.383,,,44,30,29,4/1/2020 0:00,2020,4,2,April,44
Salem,OR,44.9431,-123.0059,,,,,12,4/1/2020 0:00,2020,4,2,April,12
Salinas,CA,36.6947,-121.6222,,,37,,25,4/1/2020 0:00,2020,4,2,April,37
Salmon,ID,45.1819,-113.8903,,,,,35,4/1/2020 0:00,2020,4,2,April,35
Salt Lake City,UT,40.777,-111.93,,,44,,16,4/1/2020 0:00,2020,4,2,April,44
Sampson County,NC,34.9918,-78.3713,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
San Antonio,TX,29.417,-98.484,,,44,,41,4/1/2020 0:00,2020,4,2,April,44
San Diego Coast,CA,32.709,-117.154,,,34,,42,4/1/2020 0:00,2020,4,2,April,42
San Diego Foothills,CA,32.842,-116.768,,,41,,45,4/1/2020 0:00,2020,4,2,April,45
San Diego Mesa and Inland Valley,CA,32.791,-116.942,,,31,,60,4/1/2020 0:00,2020,4,2,April,60
San Francisco,CA,37.75,-122.43,,,37,,28,4/1/2020 0:00,2020,4,2,April,37
San Gabriel Mts,CA,34.3927,-118.1152,5,22,74,26,52,4/1/2020 0:00,2020,4,2,April,74
San Jose,CA,37.33,-121.9,,,39,,,4/1/2020 0:00,2020,4,2,April,39
San Juan County,NM,36.7741,-108.1644,,,48,,,4/1/2020 0:00,2020,4,2,April,48
San Luis Obispo,CA,35.27,-120.66,,,37,22,43,4/1/2020 0:00,2020,4,2,April,43
San Rafael,CA,37.97,-122.52,,,38,,43,4/1/2020 0:00,2020,4,2,April,43
San Tan Valley,AZ,33.2191,-111.5611,,,,55,,4/1/2020 0:00,2020,4,2,April,55
Sand Island,HI,21.3039,-157.8711,,,36,,11,4/1/2020 0:00,2020,4,2,April,36
Sandpoint,ID,48.2918,-116.5566,,,,5,24,4/1/2020 0:00,2020,4,2,April,24
Santa Barbara,CA,34.4286,-119.71,,,35,24,38,4/1/2020 0:00,2020,4,2,April,38
Santa Clarita Vly,CA,34.3833,-118.5283,5,23,51,24,38,4/1/2020 0:00,2020,4,2,April,51
Santa Cruz,CA,36.9858,-121.9931,,,36,,15,4/1/2020 0:00,2020,4,2,April,36
Santa Maria,CA,34.9492,-120.4367,,,35,53,55,4/1/2020 0:00,2020,4,2,April,55
Santa Rosa,CA,38.45,-122.7,,,38,,9,4/1/2020 0:00,2020,4,2,April,38
Santa Rosa Rancheria,CA,36.2333,-119.7651,,,35,16,,4/1/2020 0:00,2020,4,2,April,35
Santa Ynez,CA,34.6083,-120.0747,,,36,,,4/1/2020 0:00,2020,4,2,April,36
Sarasota,FL,27.3259,-82.5499,,,42,24,37,4/1/2020 0:00,2020,4,2,April,42
Scotland County,NC,34.8409,-79.4799,,,45,,40,4/1/2020 0:00,2020,4,2,April,45
Scranton / Wilkes-Barre,PA,41.3363,-75.7274,,,37,,16,4/1/2020 0:00,2020,4,2,April,37
Seattle-Bellevue-Kent Valley,WA,47.562,-122.3405,,,35,,33,4/1/2020 0:00,2020,4,2,April,35
Seeley Lake,MT,47.1756,-113.4762,,,,,27,4/1/2020 0:00,2020,4,2,April,27
Seminole County,FL,28.803,-81.27,,,37,,40,4/1/2020 0:00,2020,4,2,April,40
